Invoice #	Invoice Date	Invoice Type	Invoice Cancel Date	Status	Invoice Amount	Order #	Order Date	Account Name	Code	Account TIN#	Cash Customer Name	Contact First Name	Contact Last Name	Round Off Amount	Invoice Round Off Amount	Short Amount	Realized Amount	HMCGL Card No	Campaign	B2B Purchase Order #	B2B Order Type	Invoice Header Type	Created By	Inventory Location	Packaging & Forwarding Charges	Tax on Package & Forwarding	Type of Tax P&F	IRN#	IRN Status	Ack#	Ack Date	Credit Note# (Canc.>24h)	IRN# (Canc.>24h)	IRN Status (Canc.>24h)	Ack# (Canc.>24h)	Ack Date (Canc.>24h)
"30305BC26P60477"	"24/03/2026 03:24:25 PM"	"Credit"		"Open"	"Rs.3,441.36"	"30305-02-PSAO-0326-83321"	"17/03/2026 07:58:51 PM"	"MURTI SPARES"	"30305-01-SSP-0415-9"	"09509402847"				"(Rs.0.36)"	"Rs.3,441.00"	"Rs.3,441.00"	"Rs.0.00"			"21716-02-PLPO-0326-253"	"VOR"	"TAX INVOICE"	"30305P34"	"30305 MAIN WAREHOUSE50803AAM000S"		"0"		"4ecb18cf7f693ec4ab6e5cef05517ca4ab960210aa036c3261bcf2dec9db964c"	"ACT"	"142619848922125"	"24/03/2026 03:24:00 PM"					
"30305BC26P60476"	"24/03/2026 03:23:23 PM"	"Credit"		"Open"	"Rs.1,040.58"	"30305-02-PSAO-0326-83221"	"16/03/2026 05:54:37 PM"	"SHRI BANKEY BIHARI AUTO PVT LTD"	"30305-01-DLR-0415-3"	"09607502146"				"Rs.0.42"	"Rs.1,041.00"	"Rs.1,041.00"	"Rs.0.00"			"10813-03-PLPO-0326-948"	"VOR"	"TAX INVOICE"	"30305P34"	"30305 MAIN WAREHOUSE50803AAM000S"		"0"		"29da65b71de0147e8b90c9989812d1896c9d18c12e131345830ec830e4df4761"	"ACT"	"142619848911086"	"24/03/2026 03:23:00 PM"					
"30305BC26P60475"	"24/03/2026 03:22:28 PM"	"Credit"		"Open"	"Rs.878.05"	"30305-02-PSAO-0326-84941"	"23/03/2026 03:05:33 PM"	"KAMAL MOTORS"	"30305-02-DLR-0525-1"					"(Rs.0.05)"	"Rs.878.00"	"Rs.878.00"	"Rs.0.00"			"10466-03-PLPO-0326-1146"	"VOR"	"TAX INVOICE"	"30305P34"	"30305 MAIN WAREHOUSE50803AAM000S"		"0"		"d3ce1816d6b1fda00cef524dc77ab74f1e805556f24adab9912922cff42a32ea"	"ACT"	"142619848901362"	"24/03/2026 03:23:00 PM"					
"30305BC26P60474"	"24/03/2026 03:21:42 PM"	"Credit"		"Open"	"Rs.499.41"	"30305-02-PSAO-0326-83537"	"18/03/2026 02:24:48 PM"	"BALAJI AUTOMOBILES"	"30305-02-SSP-0222-1"					"(Rs.0.41)"	"Rs.499.00"	"Rs.499.00"	"Rs.0.00"			"23406-02-PLPO-0326-399"	"VOR"	"TAX INVOICE"	"30305P34"	"30305 MAIN WAREHOUSE50803AAM000S"		"0"		"9ba7f37a6480c05a144416bb1912b5f113c041d838be9eba50fb7ceb4ed0017d"	"ACT"	"142619848892435"	"24/03/2026 03:22:00 PM"					
"30305BC26P60473"	"24/03/2026 02:46:30 PM"	"Credit"		"Open"	"Rs.72,859.77"	"30305-02-PSAO-0326-84752"	"23/03/2026 09:43:55 AM"	"KUSHWAHA AUTO"	"30305-02-SSP-0515-9"	"09809207175C"				"Rs.0.23"	"Rs.72,860.00"	"Rs.72,860.00"	"Rs.0.00"			"22785-02-PLPO-0326-385"	"STD"	"TAX INVOICE"	"30305P34"	"30305 MAIN WAREHOUSE50803AAM000S"		"0"		"cd4394550c1d6b2c476c22bf2b3b947f21917918d78652f40bd57267fe9026e6"	"ACT"	"142619848528886"	"24/03/2026 02:47:00 PM"					
"30305BC26P60472"	"24/03/2026 02:43:45 PM"	"Credit"		"Open"	"Rs.17,682.81"	"30305-02-PSAO-0326-84799"	"23/03/2026 10:16:20 AM"	"RUDRARPIT AUTO SALES"	"30305-02-ARD-1222-11"					"Rs.0.19"	"Rs.17,683.00"	"Rs.17,683.00"	"Rs.0.00"					"TAX INVOICE"	"30305P34"	"30305 MAIN WAREHOUSE50803AAM000S"		"0"		"94b955f5332c2958c8c3fe7536924062cab9304245a445b0f93a4e6cac64db42"	"ACT"	"142619848497197"	"24/03/2026 02:44:00 PM"					
"30305BC26P60471"	"24/03/2026 02:42:24 PM"	"Credit"		"Open"	"Rs.1,337.16"	"30305-02-PSAO-0326-84721"	"23/03/2026 09:39:00 AM"	"GYAN AUTOMOBILES"	"30305-02-SSP-1222-4"					"(Rs.0.16)"	"Rs.1,337.00"	"Rs.1,337.00"	"Rs.0.00"			"21555-02-PLPO-0326-332"	"STD"	"TAX INVOICE"	"30305P34"	"30305 MAIN WAREHOUSE50803AAM000S"		"0"		"9131324865cc5778c93714c0b274ad6ab9713d9a8a10469308d563d5254cf4e7"	"ACT"	"142619848483945"	"24/03/2026 02:42:00 PM"					
"30305BC26P60470"	"24/03/2026 02:41:29 PM"	"Credit"		"Open"	"Rs.9,639.14"	"30305-02-PSAO-0326-84024"	"19/03/2026 06:02:04 PM"	"BRIGHT MOTORS"	"30305-02-DLR-1124-2"					"(Rs.0.14)"	"Rs.9,639.00"	"Rs.9,639.00"	"Rs.0.00"					"TAX INVOICE"	"30305P34"	"30305 MAIN WAREHOUSE50803AAM000S"		"0"		"c4f5f694acf925dcaeb904e2864d15764ae00b7dabba75d8ea1374ee77a23a29"	"ACT"	"142619848475186"	"24/03/2026 02:42:00 PM"					
"30305BC26P60469"	"24/03/2026 02:39:00 PM"	"Credit"		"Open"	"Rs.90,228.87"	"30305-02-PSAO-0326-84896"	"23/03/2026 01:02:01 PM"	"MURTI SPARES"	"30305-01-SSP-0415-9"	"09509402847"				"Rs.0.13"	"Rs.90,229.00"	"Rs.90,229.00"	"Rs.0.00"			"21716-01-PLPO-0326-278"	"STD"	"TAX INVOICE"	"30305P34"	"30305 MAIN WAREHOUSE50803AAM000S"		"0"		"1567d4a7992e4dfc7a5a0988d7011d8afc93a2902969fb4ee423a836e7c328a1"	"ACT"	"142619848446768"	"24/03/2026 02:39:00 PM"					
"30305BC26P60468"	"24/03/2026 02:38:08 PM"	"Credit"		"Open"	"Rs.11,469.07"	"30305-02-PSAO-0326-84614"	"21/03/2026 03:23:25 PM"	"VANI AUTO"	"30305-01-SSP-0415-2"	"09254241151"				"(Rs.0.07)"	"Rs.11,469.00"	"Rs.11,469.00"	"Rs.0.00"			"20887-02-PLPO-0326-344"	"STD"	"TAX INVOICE"	"30305P34"	"30305 MAIN WAREHOUSE50803AAM000S"		"0"		"55d37857e42bfb6910c3f88ce86aff8a146afc5de32302b113a0fc0fc7c3f500"	"ACT"	"142619848436789"	"24/03/2026 02:38:00 PM"					
